time,flow,dowy,timing_305-335,magnitude_gt1.0,rate_of_change_gt2.0,november_pulse_flow,timing_152-305,magnitude_lt1.0,duration_gt7,dry_season_baseflow,magnitude_gt2.0,frequency_ge1in5yrs,bankfull_flow
1900-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0
1900-01-02,1,2,0,0,0,0,0,0,0,0,0,0,0
1900-01-03,1,3,0,0,0,0,0,0,0,0,0,0,0
1900-01-04,1,4,0,0,0,0,0,0,0,0,0,0,0
1900-01-05,1,5,0,0,0,0,0,0,0,0,0,0,0
1900-01-06,1,6,0,0,0,0,0,0,0,0,0,0,0
1900-01-07,1,7,0,0,0,0,0,0,0,0,0,0,0
1900-01-08,1,8,0,0,0,0,0,0,0,0,0,0,0
1900-01-09,1,9,0,0,0,0,0,0,0,0,0,0,0
1900-01-10,1,10,0,0,0,0,0,0,0,0,0,0,0
1900-01-11,1,11,0,0,0,0,0,0,0,0,0,0,0
1900-01-12,1,12,0,0,0,0,0,0,0,0,0,0,0
1900-01-13,1,13,0,0,0,0,0,0,0,0,0,0,0
1900-01-14,1,14,0,0,0,0,0,0,0,0,0,0,0
1900-01-15,1,15,0,0,0,0,0,0,0,0,0,0,0
1900-01-16,1,16,0,0,0,0,0,0,0,0,0,0,0
1900-01-17,1,17,0,0,0,0,0,0,0,0,0,0,0
1900-01-18,1,18,0,0,0,0,0,0,0,0,0,0,0
1900-01-19,1,19,0,0,0,0,0,0,0,0,0,0,0
1900-01-20,1,20,0,0,0,0,0,0,0,0,0,0,0
1900-01-21,1,21,0,0,0,0,0,0,0,0,0,0,0
1900-01-22,1,22,0,0,0,0,0,0,0,0,0,0,0
1900-01-23,1,23,0,0,0,0,0,0,0,0,0,0,0
1900-01-24,1,24,0,0,0,0,0,0,0,0,0,0,0
1900-01-25,1,25,0,0,0,0,0,0,0,0,0,0,0
1900-01-26,1,26,0,0,0,0,0,0,0,0,0,0,0
1900-01-27,1,27,0,0,0,0,0,0,0,0,0,0,0
1900-01-28,1,28,0,0,0,0,0,0,0,0,0,0,0
1900-01-29,1,29,0,0,0,0,0,0,0,0,0,0,0
1900-01-30,1,30,0,0,0,0,0,0,0,0,0,0,0
1900-01-31,1,31,0,0,0,0,0,0,0,0,0,0,0
1900-02-01,1,32,0,0,0,0,0,0,0,0,0,0,0
1900-02-02,1,33,0,0,0,0,0,0,0,0,0,0,0
1900-02-03,1,34,0,0,0,0,0,0,0,0,0,0,0
1900-02-04,1,35,0,0,0,0,0,0,0,0,0,0,0
1900-02-05,1,36,0,0,0,0,0,0,0,0,0,0,0
1900-02-06,1,37,0,0,0,0,0,0,0,0,0,0,0
1900-02-07,1,38,0,0,0,0,0,0,0,0,0,0,0
1900-02-08,1,39,0,0,0,0,0,0,0,0,0,0,0
1900-02-09,1,40,0,0,0,0,0,0,0,0,0,0,0
1900-02-10,1,41,0,0,0,0,0,0,0,0,0,0,0
1900-02-11,1,42,0,0,0,0,0,0,0,0,0,0,0
1900-02-12,1,43,0,0,0,0,0,0,0,0,0,0,0
1900-02-13,1,44,0,0,0,0,0,0,0,0,0,0,0
1900-02-14,1,45,0,0,0,0,0,0,0,0,0,0,0
1900-02-15,1,46,0,0,0,0,0,0,0,0,0,0,0
1900-02-16,1,47,0,0,0,0,0,0,0,0,0,0,0
1900-02-17,1,48,0,0,0,0,0,0,0,0,0,0,0
1900-02-18,1,49,0,0,0,0,0,0,0,0,0,0,0
1900-02-19,1,50,0,0,0,0,0,0,0,0,0,0,0
1900-02-20,1,51,0,0,0,0,0,0,0,0,0,0,0
1900-02-21,1,52,0,0,0,0,0,0,0,0,0,0,0
1900-02-22,1,53,0,0,0,0,0,0,0,0,0,0,0
1900-02-23,1,54,0,0,0,0,0,0,0,0,0,0,0
1900-02-24,1,55,0,0,0,0,0,0,0,0,0,0,0
1900-02-25,1,56,0,0,0,0,0,0,0,0,0,0,0
1900-02-26,1,57,0,0,0,0,0,0,0,0,0,0,0
1900-02-27,1,58,0,0,0,0,0,0,0,0,0,0,0
1900-02-28,1,59,0,0,0,0,0,0,0,0,0,0,0
1900-03-01,1,60,0,0,0,0,0,0,0,0,0,0,0
1900-03-02,1,61,0,0,0,0,0,0,0,0,0,0,0
1900-03-03,1,62,0,0,0,0,0,0,0,0,0,0,0
1900-03-04,1,63,0,0,0,0,0,0,0,0,0,0,0
1900-03-05,1,64,0,0,0,0,0,0,0,0,0,0,0
1900-03-06,1,65,0,0,0,0,0,0,0,0,0,0,0
1900-03-07,1,66,0,0,0,0,0,0,0,0,0,0,0
1900-03-08,1,67,0,0,0,0,0,0,0,0,0,0,0
1900-03-09,1,68,0,0,0,0,0,0,0,0,0,0,0
1900-03-10,1,69,0,0,0,0,0,0,0,0,0,0,0
1900-03-11,1,70,0,0,0,0,0,0,0,0,0,0,0
1900-03-12,1,71,0,0,0,0,0,0,0,0,0,0,0
1900-03-13,1,72,0,0,0,0,0,0,0,0,0,0,0
1900-03-14,1,73,0,0,0,0,0,0,0,0,0,0,0
1900-03-15,1,74,0,0,0,0,0,0,0,0,0,0,0
1900-03-16,1,75,0,0,0,0,0,0,0,0,0,0,0
1900-03-17,1,76,0,0,0,0,0,0,0,0,0,0,0
1900-03-18,1,77,0,0,0,0,0,0,0,0,0,0,0
1900-03-19,1,78,0,0,0,0,0,0,0,0,0,0,0
1900-03-20,1,79,0,0,0,0,0,0,0,0,0,0,0
1900-03-21,1,80,0,0,0,0,0,0,0,0,0,0,0
1900-03-22,1,81,0,0,0,0,0,0,0,0,0,0,0
1900-03-23,1,82,0,0,0,0,0,0,0,0,0,0,0
1900-03-24,1,83,0,0,0,0,0,0,0,0,0,0,0
1900-03-25,1,84,0,0,0,0,0,0,0,0,0,0,0
1900-03-26,1,85,0,0,0,0,0,0,0,0,0,0,0
1900-03-27,1,86,0,0,0,0,0,0,0,0,0,0,0
1900-03-28,1,87,0,0,0,0,0,0,0,0,0,0,0
1900-03-29,1,88,0,0,0,0,0,0,0,0,0,0,0
1900-03-30,1,89,0,0,0,0,0,0,0,0,0,0,0
1900-03-31,1,90,0,0,0,0,0,0,0,0,0,0,0
1900-04-01,1,91,0,0,0,0,0,0,0,0,0,0,0
1900-04-02,1,92,0,0,0,0,0,0,0,0,0,0,0
1900-04-03,1,93,0,0,0,0,0,0,0,0,0,0,0
1900-04-04,1,94,0,0,0,0,0,0,0,0,0,0,0
1900-04-05,1,95,0,0,0,0,0,0,0,0,0,0,0
1900-04-06,1,96,0,0,0,0,0,0,0,0,0,0,0
1900-04-07,1,97,0,0,0,0,0,0,0,0,0,0,0
1900-04-08,1,98,0,0,0,0,0,0,0,0,0,0,0
1900-04-09,1,99,0,0,0,0,0,0,0,0,0,0,0
1900-04-10,1,100,0,0,0,0,0,0,0,0,0,0,0
1900-04-11,1,101,0,0,0,0,0,0,0,0,0,0,0
1900-04-12,1,102,0,0,0,0,0,0,0,0,0,0,0
1900-04-13,1,103,0,0,0,0,0,0,0,0,0,0,0
1900-04-14,1,104,0,0,0,0,0,0,0,0,0,0,0
1900-04-15,1,105,0,0,0,0,0,0,0,0,0,0,0
1900-04-16,1,106,0,0,0,0,0,0,0,0,0,0,0
1900-04-17,1,107,0,0,0,0,0,0,0,0,0,0,0
1900-04-18,1,108,0,0,0,0,0,0,0,0,0,0,0
1900-04-19,1,109,0,0,0,0,0,0,0,0,0,0,0
1900-04-20,1,110,0,0,0,0,0,0,0,0,0,0,0
1900-04-21,1,111,0,0,0,0,0,0,0,0,0,0,0
1900-04-22,1,112,0,0,0,0,0,0,0,0,0,0,0
1900-04-23,1,113,0,0,0,0,0,0,0,0,0,0,0
1900-04-24,1,114,0,0,0,0,0,0,0,0,0,0,0
1900-04-25,1,115,0,0,0,0,0,0,0,0,0,0,0
1900-04-26,1,116,0,0,0,0,0,0,0,0,0,0,0
1900-04-27,1,117,0,0,0,0,0,0,0,0,0,0,0
1900-04-28,1,118,0,0,0,0,0,0,0,0,0,0,0
1900-04-29,1,119,0,0,0,0,0,0,0,0,0,0,0
1900-04-30,1,120,0,0,0,0,0,0,0,0,0,0,0
1900-05-01,1,121,0,0,0,0,0,0,0,0,0,0,0
1900-05-02,1,122,0,0,0,0,0,0,0,0,0,0,0
1900-05-03,1,123,0,0,0,0,0,0,0,0,0,0,0
1900-05-04,1,124,0,0,0,0,0,0,0,0,0,0,0
1900-05-05,1,125,0,0,0,0,0,0,0,0,0,0,0
1900-05-06,1,126,0,0,0,0,0,0,0,0,0,0,0
1900-05-07,1,127,0,0,0,0,0,0,0,0,0,0,0
1900-05-08,1,128,0,0,0,0,0,0,0,0,0,0,0
1900-05-09,1,129,0,0,0,0,0,0,0,0,0,0,0
1900-05-10,1,130,0,0,0,0,0,0,0,0,0,0,0
1900-05-11,1,131,0,0,0,0,0,0,0,0,0,0,0
1900-05-12,1,132,0,0,0,0,0,0,0,0,0,0,0
1900-05-13,1,133,0,0,0,0,0,0,0,0,0,0,0
1900-05-14,1,134,0,0,0,0,0,0,0,0,0,0,0
1900-05-15,1,135,0,0,0,0,0,0,0,0,0,0,0
1900-05-16,1,136,0,0,0,0,0,0,0,0,0,0,0
1900-05-17,1,137,0,0,0,0,0,0,0,0,0,0,0
1900-05-18,1,138,0,0,0,0,0,0,0,0,0,0,0
1900-05-19,1,139,0,0,0,0,0,0,0,0,0,0,0
1900-05-20,1,140,0,0,0,0,0,0,0,0,0,0,0
1900-05-21,1,141,0,0,0,0,0,0,0,0,0,0,0
1900-05-22,1,142,0,0,0,0,0,0,0,0,0,0,0
1900-05-23,1,143,0,0,0,0,0,0,0,0,0,0,0
1900-05-24,1,144,0,0,0,0,0,0,0,0,0,0,0
1900-05-25,1,145,0,0,0,0,0,0,0,0,0,0,0
1900-05-26,1,146,0,0,0,0,0,0,0,0,0,0,0
1900-05-27,1,147,0,0,0,0,0,0,0,0,0,0,0
1900-05-28,1,148,0,0,0,0,0,0,0,0,0,0,0
1900-05-29,1,149,0,0,0,0,0,0,0,0,0,0,0
1900-05-30,1,150,0,0,0,0,0,0,0,0,0,0,0
1900-05-31,1,151,0,0,0,0,0,0,0,0,0,0,0
1900-06-01,1,152,0,0,0,0,0,0,0,0,0,0,0
1900-06-02,1,153,0,0,0,0,0,0,0,0,0,0,0
1900-06-03,1,154,0,0,0,0,0,0,0,0,0,0,0
1900-06-04,1,155,0,0,0,0,0,0,0,0,0,0,0
1900-06-05,1,156,0,0,0,0,0,0,0,0,0,0,0
1900-06-06,1,157,0,0,0,0,0,0,0,0,0,0,0
1900-06-07,1,158,0,0,0,0,0,0,0,0,0,0,0
1900-06-08,1,159,0,0,0,0,0,0,0,0,0,0,0
1900-06-09,1,160,0,0,0,0,0,0,0,0,0,0,0
1900-06-10,1,161,0,0,0,0,0,0,0,0,0,0,0
1900-06-11,1,162,0,0,0,0,0,0,0,0,0,0,0
1900-06-12,1,163,0,0,0,0,0,0,0,0,0,0,0
1900-06-13,1,164,0,0,0,0,0,0,0,0,0,0,0
1900-06-14,1,165,0,0,0,0,0,0,0,0,0,0,0
1900-06-15,1,166,0,0,0,0,0,0,0,0,0,0,0
1900-06-16,1,167,0,0,0,0,0,0,0,0,0,0,0
1900-06-17,1,168,0,0,0,0,0,0,0,0,0,0,0
1900-06-18,1,169,0,0,0,0,0,0,0,0,0,0,0
1900-06-19,1,170,0,0,0,0,0,0,0,0,0,0,0
1900-06-20,1,171,0,0,0,0,0,0,0,0,0,0,0
1900-06-21,1,172,0,0,0,0,0,0,0,0,0,0,0
1900-06-22,1,173,0,0,0,0,0,0,0,0,0,0,0
1900-06-23,1,174,0,0,0,0,0,0,0,0,0,0,0
1900-06-24,1,175,0,0,0,0,0,0,0,0,0,0,0
1900-06-25,1,176,0,0,0,0,0,0,0,0,0,0,0
1900-06-26,1,177,0,0,0,0,0,0,0,0,0,0,0
1900-06-27,1,178,0,0,0,0,0,0,0,0,0,0,0
1900-06-28,1,179,0,0,0,0,0,0,0,0,0,0,0
1900-06-29,1,180,0,0,0,0,0,0,0,0,0,0,0
1900-06-30,1,181,0,0,0,0,0,0,0,0,0,0,0
1900-07-01,1,182,0,0,0,0,0,0,0,0,0,0,0
1900-07-02,1,183,0,0,0,0,0,0,0,0,0,0,0
1900-07-03,1,184,0,0,0,0,0,0,0,0,0,0,0
1900-07-04,1,185,0,0,0,0,0,0,0,0,0,0,0
1900-07-05,1,186,0,0,0,0,0,0,0,0,0,0,0
1900-07-06,1,187,0,0,0,0,0,0,0,0,0,0,0
1900-07-07,1,188,0,0,0,0,0,0,0,0,0,0,0
1900-07-08,1,189,0,0,0,0,0,0,0,0,0,0,0
1900-07-09,1,190,0,0,0,0,0,0,0,0,0,0,0
1900-07-10,1,191,0,0,0,0,0,0,0,0,0,0,0
1900-07-11,1,192,0,0,0,0,0,0,0,0,0,0,0
1900-07-12,1,193,0,0,0,0,0,0,0,0,0,0,0
1900-07-13,1,194,0,0,0,0,0,0,0,0,0,0,0
1900-07-14,1,195,0,0,0,0,0,0,0,0,0,0,0
1900-07-15,1,196,0,0,0,0,0,0,0,0,0,0,0
1900-07-16,1,197,0,0,0,0,0,0,0,0,0,0,0
